Date,vix,vxn,vxd,spy.PERMNO,spy.PRC,spy.OPENPRC,dia.PERMNO,dia.PRC,dia.OPENPRC,qqq.PERMNO,qqq.PRC,qqq.OPENPRC
2/2/2001,21.95,54.89,19.94,84398,134.8,137.39999,85765,108.63,109.8,86755,61.55,64.94
2/5/2001,22.19,55.85,19.98,84398,135.78999,134.8,85765,109.8,108.87,86755,61.5,61.19
2/6/2001,21.98,53.68,19.57,84398,135.39,135.3,85765,109.58,109.3,86755,61.6,61.49
2/7/2001,21.67,54.41,19.2,84398,134.69,134.72,85765,109.62,109.49,86755,60.6,60.51
2/8/2001,21.46,54.66,19.23,84398,133.12,134.8,85765,108.73,109.85,86755,58.79,60.9
2/9/2001,22.03,55.85,19.1,84398,131.84,133.35001,85765,108.02,108.5,86755,56.4,58.25
2/12/2001,21.92,57.05,19.68,84398,133.35001,131.7,85765,109.63,108.08,86755,57.08,56.25
2/13/2001,21.37,58.42,19.01,84398,132.25999,133.7,85765,109.28,109.7,86755,55.3,57.65
2/14/2001,21.52,57.49,19.62,84398,132.06,132.64999,85765,108.28,109.36,86755,57.45,55.4
2/15/2001,20.27,55.19,18.51,84398,133.34,132.84,85765,109.34,108.7,86755,58.4,58.8
2/16/2001,22.12,55.34,19.07,84398,130.39999,131,85765,108.15,107.78,86755,55.13,55.96
2/20/2001,24.69,57.93,20.47,84398,128.39,131.03999,85765,107.45,108.4,86755,52.99,55.74
2/21/2001,25.75,59.57,21.64,84398,125.62,127.9,85765,105.3,107.15,86755,51.5,51.55
2/22/2001,26.76,60.99,22.35,84398,125.81,126.35,85765,105.65,105.6,86755,51,51.45
2/23/2001,27.21,62.03,23.41,84398,124.96,125.08,85765,104.55,105.1,86755,51.18,50.09
2/26/2001,25.43,61.77,21.51,84398,127.62,125.8,85765,106.7,104.9,86755,52.15,52.081
2/27/2001,26.49,63.27,21.11,84398,126.44,126.8,85765,106.6,106.28,86755,49,51.54
2/28/2001,28.35,63.65,23.5,84398,123.95,126.75,85765,105,106.75,86755,47.45,49.45
3/1/2001,28.08,64.32,23.27,84398,124.6,124.05,85765,104.68,104.45,86755,48.8,46.97
3/2/2001,27.43,65.69,23.18,84398,123.61,122.5,85765,104.8,103.52,86755,46.7,47.2
3/5/2001,27.12,64.19,23.29,84398,124.74,124.15,85765,105.57,105.25,86755,47.55,47.5
3/6/2001,25.89,61.2,22.15,84398,126.08,126.35,85765,106.15,106.5,86755,49.4,49.3
3/7/2001,24.12,59.17,21.04,84398,126.98,126.9,85765,107.45,106.8,86755,49.42,50.4
3/8/2001,24.29,59.1,20.75,84398,127.12,126.6,85765,108.61,107.01,86755,48.5,49.35
3/9/2001,25.62,60.4,22.87,84398,123.36,126.1,85765,106.15,108,86755,45.1,47.25
3/12/2001,30.32,68.1,26.7,84398,118.08,122.34,85765,101.9,105.45,86755,42.3,44
3/13/2001,27.55,67.31,25,84398,120.02,119.4,85765,102.86,102.55,86755,44.45,42.78
3/14/2001,29.61,64.79,26.26,84398,117.65,117.05,85765,100.19,100.25,86755,43.75,42.7
3/15/2001,28.56,64.77,26.65,84398,117.68,118.45,85765,100.4,101.24,86755,42.15,45.2
3/16/2001,29.91,65.53,27.6,84398,115.01,117.13,85765,98.38,99.65,86755,41.1,41.88
3/19/2001,29.78,65.99,27.66,84398,117.35,115.76,85765,99.75,98.91,86755,43.26,41.44
3/20/2001,30.96,65.94,28.47,84398,114.2,117.9,85765,96.96,100.05,86755,40.35,43.44
3/21/2001,31.93,62.29,29.21,84398,112.26,114.18,85765,94.8,96.961,86755,40.35,40.52
3/22/2001,32.84,62.3,29.81,84398,111.12,112.02,85765,93.45,94.5,86755,42.8,40.6
3/23/2001,30.45,61.48,27.33,84398,114.48,113.25,85765,95.3,94.49,86755,42.8,43.55
3/26/2001,29.04,62.02,26.71,84398,115.94,115.7,85765,97.2,96,86755,41.81,43.47
3/27/2001,27.04,58.53,25.7,84398,118.31,115.62,85765,99.19,96.7,86755,43.25,41.8
3/28/2001,28.58,60.17,26.6,84398,115.04,116.9,85765,97.66,98.4,86755,39.7,41.9
3/29/2001,29.17,62.37,26.77,84398,115.48,114.7,85765,98.14,97.05,86755,38.95,39.38
3/30/2001,28.64,62.23,26.73,84398,116.69,115.55,85765,99.14,98.32,86755,39.15,39.3
4/2/2001,31.21,63.87,28.66,84398,114.2,116.3,85765,97.39,98.4,86755,37.4,39.17
4/3/2001,34.72,65.02,32,84398,110.39,113.98,85765,94.3,97.05,86755,34.66,37.2
4/4/2001,34.07,65.33,31.54,84398,110.85,110.578,85765,95.31,94.5,86755,34.05,34.711
4/5/2001,29.94,65.79,29.14,84398,115.05,113.3,85765,99.39,97.24,86755,37.31,36
4/6/2001,31.69,67.24,29.3,84398,113.3,113.991,85765,98.2,98.5,86755,36.3,36.9
4/9/2001,31.91,66.1,30.13,84398,114.56,114,85765,98.82,99.44,86755,37.05,36.79
4/10/2001,29.44,66.19,27.89,84398,116.65,115.45,85765,100.97,98.3,86755,39.8,37.9
4/11/2001,28.46,63.28,27.58,84398,116.73,118.78,85765,100.18,102.49,86755,41,42.16
4/12/2001,26.12,59.23,25.26,84398,118.85,116.3,85765,101.7,99.5,86755,42.8,40.3
4/16/2001,26.33,65.57,25.73,84398,117.6,118.29,85765,100.98,101,86755,40.25,41.941
4/17/2001,25.61,64.99,25.21,84398,119.26,117.31,85765,102.25,100.77,86755,41.25,39.951
4/18/2001,24.13,62.23,24.33,84398,124,121.06,85765,106.42,103.25,86755,45.55,43.721
4/19/2001,24.16,64.04,23.06,84398,125.65,124.25,85765,107.18,106.4,86755,48.3,46.1
4/20/2001,25.38,65.58,24.76,84398,124.5,124.9,85765,105.95,106,86755,48.4,48.18
4/23/2001,28.16,68.78,26.11,84398,122.24,123.65,85765,105.15,105.35,86755,45.15,46.99
4/24/2001,28.49,70.06,26.19,84398,121.58,122.52,85765,104.8,105.61,86755,44.3,45.1
4/25/2001,27.4,68.98,25.89,84398,123.17,121.42,85765,106.46,105.1,86755,45.1,43.9
4/26/2001,25.96,67.29,24.87,84398,123.72,123.73,85765,107.02,106.7,86755,43.95,45.9
4/27/2001,24.02,61.54,23.66,84398,125.78,124.92,85765,108.23,107.65,86755,45.15,45.15
4/30/2001,25.48,61.13,23.99,84398,124.91,126.45,85765,107.22,108.49,86755,46.15,46.25
5/1/2001,24.2,58.87,23.26,84398,127.05,125.07,85765,109,107.45,86755,48.05,46.2
5/2/2001,24.23,57.16,23.11,84398,126.82,127.41,85765,108.69,109.05,86755,48.98,48.8
5/3/2001,25.78,60.92,23.93,84398,125.21,126.13,85765,108.14,108,86755,46.8,47.9
5/4/2001,23.91,58.18,22.74,84398,127.34,123.65,85765,109.8,106.95,86755,48.2,45.3
5/7/2001,24.86,57.45,23.28,84398,126.24,126.86,85765,109.22,109.45,86755,47.2,48
5/8/2001,24.44,56.85,22.59,84398,126.18,126.86,85765,108.81,109.64,86755,48.2,48.3
5/9/2001,24.35,57.18,22.39,84398,125.65,125.25,85765,108.61,108.3,86755,46.55,47.05
5/10/2001,24,57.96,22,84398,126.02,127.26,85765,109.26,109.74,86755,45.77,47.92
5/11/2001,23.54,57.09,22.21,84398,125.15,126,85765,108.53,109.11,86755,45.55,45.84
5/14/2001,24.26,59.67,22.51,84398,125.4,124.9,85765,108.99,108.35,86755,44.82,45.3
5/15/2001,23.71,57.28,21.69,84398,125.98,125.55,85765,109.22,109.1,86755,45.15,44.9
5/16/2001,21.89,53.68,20.74,84398,128.95,124.84,85765,112.46,108.4,86755,47.15,44.31
5/17/2001,21.47,51.93,20.95,84398,129.14999,129.005,85765,112.88,112.4,86755,47.9,47.45
5/18/2001,21.23,47.06,19.47,84398,129.74001,129.09,85765,113.15,112.55,86755,48.04,47.64
5/21/2001,20.76,47.63,19.68,84398,131.64999,129.84,85765,113.3,113,86755,51.05,48.17
5/22/2001,21.35,46.28,19.61,84398,131.48,131.83,85765,112.67,113.45,86755,50.9,51.31
5/23/2001,22.08,47.78,20.65,84398,129.25,131.05,85765,111.1,112.3,86755,48.65,50.449
5/24/2001,20.57,46.51,19.39,84398,129.63,129.47,85765,111.28,111.45,86755,49.9,48.97
5/25/2001,20.6,46.52,19.49,84398,128.10001,129.64999,85765,110.15,111.35,86755,48.99,49.96
5/29/2001,22.14,49.87,20.35,84398,127.08,128.226,85765,110.41,110.45,86755,46.12,48.5
5/30/2001,22.76,52.7,21.03,84398,125.3,126.59,85765,109,110.02,86755,44.43,45.438
5/31/2001,22.64,52.53,21.12,84398,125.95,125.43,85765,109.08,109.25,86755,44.73,44.54
6/1/2001,21.59,49.94,20.13,84398,126.73,126.2,85765,110.45,109.5,86755,46.05,45.54
6/4/2001,21.38,51.43,19.93,84398,127.34,126.8,85765,110.67,110.25,86755,45.83,46.338
6/5/2001,19.58,48.76,18.65,84398,128.8,127.49,85765,111.96,110.7,86755,47.85,46.301
6/6/2001,20.39,48.32,18.94,84398,127.73,128.83,85765,111.05,111.85,86755,47.48,48.08
6/7/2001,19.67,46.66,18.84,84398,128.19,127.05,85765,110.91,110.45,86755,48.7,47.138
6/8/2001,19.92,47.12,18.55,84398,127,127.7,85765,109.75,110.8,86755,47.35,48.72
6/11/2001,20.7,48.52,18.2,84398,126.1,126.71,85765,109.35,109.55,86755,46.05,46.9
6/12/2001,20.7,48.24,18.32,84398,125.88,124.86,85765,109.53,108.69,86755,45.8,44.87
6/13/2001,21.45,51.08,19.16,84398,124.8,126.17,85765,108.81,109.75,86755,44.55,46.274
6/14/2001,23.12,52.9,21.29,84398,122,124.18,85765,106.6,108.35,86755,42.25,44.025
6/15/2001,22.81,53.02,21.45,84398,121.85,120.91,85765,106.7,106.4,86755,42.6,41.8
6/18/2001,23.17,51.15,21.54,84398,121.26,121.65,85765,107,106.4,86755,42.03,42.64
6/19/2001,22.34,49.98,20.82,84398,121.79,122.38,85765,106.18,107.25,86755,41.82,43.32
6/20/2001,21.71,48.48,20.6,84398,122.43,121.19,85765,106.73,105.95,86755,42.77,41.3
6/21/2001,19.38,46.63,18.46,84398,123.82,122.22,85765,107.14,106.35,86755,43.35,42.67
6/22/2001,20.02,45.86,18.96,84398,122.85,123.49,85765,106.24,106.95,86755,43.25,43.621
6/25/2001,20.67,48.13,20.01,84398,121.72,123.28,85765,105.06,106.57,86755,43.36,43.61
6/26/2001,21.2,46.51,20.07,84398,121.55,120.9,85765,104.62,104.6,86755,43.51,42.54
6/27/2001,20.88,45.47,19.96,84398,121.48,121.6,85765,104.5,104.88,86755,43.79,43.681
6/28/2001,20.01,42.77,18.98,84398,122.15,122,85765,105.69,105.07,86755,44.35,44.402
6/29/2001,19.06,40.15,18.21,84398,122.6,122.8,85765,105.24,105.85,86755,45.7,45.09
7/2/2001,18.76,40.3,18.1,84398,124.13,122.8,85765,106.21,104.78,86755,45.45,45.652
7/3/2001,18.92,41.68,18.2,84398,124.1,123.98,85765,106.05,105.95,86755,45.64,45.25
7/5/2001,20.09,44.15,19.22,84398,121.68,123.07,85765,104.65,105.25,86755,43.45,44.87
7/6/2001,21.63,45.65,20.84,84398,119.05,121.31,85765,102.56,104.63,86755,41.65,43.01
7/9/2001,22.48,46.08,20.6,84398,119.7,119.491,85765,102.85,102.95,86755,42.01,41.898
7/10/2001,23.25,50.04,21.95,84398,118.26,120.29,85765,101.77,103.4,86755,40.5,42.76
7/11/2001,24.01,50.61,21.86,84398,118.38,118.1,85765,102.55,102.03,86755,41,40.42
7/12/2001,22.09,47.5,20.54,84398,121.19,119.5,85765,105.15,103.45,86755,43.6,42.63
7/13/2001,21.14,47.06,19.19,84398,122.24,120.84,85765,105.68,104.75,86755,43.15,43.38
7/16/2001,22.91,48.86,19.94,84398,120.71,121.77,85765,105.05,105.46,86755,42.35,43.37
7/17/2001,22.61,49.63,20.75,84398,121.84,120.2,85765,106.15,104.6,86755,43.3,41.829
7/18/2001,23.6,50.67,21.51,84398,121.01,120.56,85765,105.6,105.35,86755,41.65,42.279
7/19/2001,22.51,48.83,20.99,84398,122.07,122.18,85765,106.4,106.78,86755,42.64,42.46
7/20/2001,22.34,48.1,21.33,84398,121.34,121.15,85765,105.8,105.55,86755,41.65,41.49
